"","V1","V2","V3","V4","V5"
"result.2430",-109890.07866235,-109931.80986569,-109952.035177061,-109838.44731588,-109617.904552608
"result.2431",-109853.360121814,-109890.958916238,-109908.845236497,-109812.512535433,-109569.934254117
"result.2432",-108689.882191603,-108696.88932737,-108777.443276069,-108716.535184744,-108488.692523373
"result.2433",-108745.104975059,-108807.781409257,-108864.191747709,-108800.237145401,-108580.31972726
"result.2434",-108666.426979285,-108709.649031573,-108720.173656592,-108613.664816515,-108317.006110553
"result.2435",-108149.543376764,-108155.186308224,-108160.179277158,-108006.987606925,-107698.954986347
"result.2436",-107636.937820424,-107641.353306965,-107695.907919252,-107593.981668004,-107344.482516547
"result.2437",-107446.600820714,-107457.357534102,-107546.081198861,-107450.758856879,-107157.155184012
"result.2438",-107192.297534417,-107179.746298089,-107174.477271479,-107013.255584375,-106702.821689775
"result.2439",-107026.713954429,-107066.54894097,-107126.193578979,-107072.027941761,-106875.936509171
